Training Settings: epochs=300, lr=0.0001, device=cuda
--------------------------------------------------
Epoch [1/300] | Dec Loss: 0.116911 | Enh Loss: 0.129286
Epoch [2/300] | Dec Loss: 0.072572 | Enh Loss: 0.119532
Epoch [3/300] | Dec Loss: 0.064075 | Enh Loss: 0.117647
Epoch [4/300] | Dec Loss: 0.059689 | Enh Loss: 0.116540
Epoch [5/300] | Dec Loss: 0.055948 | Enh Loss: 0.116089
Epoch [6/300] | Dec Loss: 0.053466 | Enh Loss: 0.115649
Epoch [7/300] | Dec Loss: 0.050528 | Enh Loss: 0.115581
Epoch [8/300] | Dec Loss: 0.048486 | Enh Loss: 0.115216
Epoch [9/300] | Dec Loss: 0.047138 | Enh Loss: 0.114885
Epoch [10/300] | Dec Loss: 0.046107 | Enh Loss: 0.114527
Epoch [11/300] | Dec Loss: 0.044822 | Enh Loss: 0.114438
Epoch [12/300] | Dec Loss: 0.044542 | Enh Loss: 0.114367
Epoch [13/300] | Dec Loss: 0.043958 | Enh Loss: 0.114314
Epoch [14/300] | Dec Loss: 0.043582 | Enh Loss: 0.114199
Epoch [15/300] | Dec Loss: 0.042918 | Enh Loss: 0.114131
Epoch [16/300] | Dec Loss: 0.042377 | Enh Loss: 0.114017
Epoch [17/300] | Dec Loss: 0.041888 | Enh Loss: 0.113777
Epoch [18/300] | Dec Loss: 0.041642 | Enh Loss: 0.113398
Epoch [19/300] | Dec Loss: 0.041375 | Enh Loss: 0.113626
Epoch [20/300] | Dec Loss: 0.041149 | Enh Loss: 0.113236
Epoch [21/300] | Dec Loss: 0.040800 | Enh Loss: 0.113103
Epoch [22/300] | Dec Loss: 0.040420 | Enh Loss: 0.113460
Epoch [23/300] | Dec Loss: 0.039917 | Enh Loss: 0.112976
Epoch [24/300] | Dec Loss: 0.040167 | Enh Loss: 0.112927
Epoch [25/300] | Dec Loss: 0.039539 | Enh Loss: 0.112776
Epoch [26/300] | Dec Loss: 0.039859 | Enh Loss: 0.112826
Epoch [27/300] | Dec Loss: 0.039273 | Enh Loss: 0.112764
Epoch [28/300] | Dec Loss: 0.039423 | Enh Loss: 0.112788
Epoch [29/300] | Dec Loss: 0.039326 | Enh Loss: 0.112757
Epoch [30/300] | Dec Loss: 0.038973 | Enh Loss: 0.112245
Epoch [31/300] | Dec Loss: 0.039367 | Enh Loss: 0.112524
Epoch [32/300] | Dec Loss: 0.038447 | Enh Loss: 0.112089
Epoch [33/300] | Dec Loss: 0.038602 | Enh Loss: 0.112485
Epoch [34/300] | Dec Loss: 0.038236 | Enh Loss: 0.112756
Epoch [35/300] | Dec Loss: 0.038289 | Enh Loss: 0.112221
Epoch [36/300] | Dec Loss: 0.038193 | Enh Loss: 0.112237
Epoch [37/300] | Dec Loss: 0.038035 | Enh Loss: 0.111958
Epoch [38/300] | Dec Loss: 0.037888 | Enh Loss: 0.112069
